Benchmark,Reclamation Scheme,Operation,Memory Before (KB),Memory After (KB),Memory Free Change (KB)
atomic_queue,ref_counting,enqueue,9591660544 KB,9591668736 KB,8192 KB
atomic_queue,ref_counting,enqueue,9591668736 KB,9591668736 KB,0 KB
atomic_queue,ref_counting,enqueue,9591668736 KB,9591668736 KB,0 KB
atomic_queue,ref_counting,enqueue,9591783424 KB,9592238080 KB,454656 KB
atomic_queue,ref_counting,enqueue,9592238080 KB,9592238080 KB,0 KB
atomic_queue,ref_counting,enqueue,9592238080 KB,9592238080 KB,0 KB
atomic_queue,ref_counting,enqueue,9591476224 KB,9591476224 KB,0 KB
atomic_queue,ref_counting,enqueue,9591828480 KB,9591828480 KB,0 KB
atomic_queue,ref_counting,enqueue,9591828480 KB,9591828480 KB,0 KB
atomic_queue,ref_counting,enqueue,9591828480 KB,9591828480 KB,0 KB
atomic_queue,ref_counting,enqueue,9591828480 KB,9591828480 KB,0 KB
atomic_queue,ref_counting,enqueue,9591828480 KB,9591828480 KB,0 KB
atomic_queue,ref_counting,enqueue,9592283136 KB,9592283136 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592455168 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592455168 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592455168 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592455168 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592455168 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592455168 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592455168 KB,0 KB
atomic_queue,ref_counting,enqueue,9592455168 KB,9592909824 KB,454656 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9592909824 KB,9592909824 KB,0 KB
atomic_queue,ref_counting,enqueue,9593364480 KB,9593364480 KB,0 KB
atomic_queue,ref_counting,enqueue,9593364480 KB,9593364480 KB,0 KB
atomic_queue,ref_counting,enqueue,9593364480 KB,9593364480 KB,0 KB
