Time (s),Available Memory (MB)
0.3348078,1474449408
0.44026580000000004,1475018752
0.5451596,1475559424
0.6499127,1476902912
0.7545396,1477054464
0.8592831999999999,1479057408
0.9639336,1479090176
1.0685029,1479147520
1.1732131,1479163904
1.2776296,1479196672
1.3825407,1479004160
1.4877488,1480654848
1.5918252,1480728576
1.6966479,1480830976
1.8017385,1480888320
1.9060726,1481019392
2.0101478,1481060352
2.1144065,1481121792
2.219326,1481125888
2.3238419,1481162752
2.4289711,1450491904
2.5328287,1465860096
2.6374529,1465659392
2.7426177,1467269120
2.848159,1468952576
2.9521708,1469657088
3.0560522,1473089536
3.1607695,1473777664
3.2651141,1478414336
3.3695182,1479098368
3.4738563,1467465728
3.5779984,1479135232
3.6828389,1479614464
3.7882472,1483874304
3.8926953,1482248192
3.9971043,1480871936
4.1018135,1480605696
4.2058852,1478914048
4.3102351,1478840320
4.4145599,1484718080
4.5189749,1483677696
4.6242671,1483898880
4.7289414,1484525568
4.8335003,1483968512
4.9378267,1483460608
0.0635024,1491202048
0.1696906,1479573504
0.2743583,1474605056
0.3790199,1475059712
0.483708,1476759552
0.5881502000000001,1477378048
0.6923586,1478176768
0.7973478,1478176768
0.9022081,1481592832
1.0064222,1481609216
1.1112481,1481773056
1.2157411,1482465280
1.3201743,1482465280
1.4245328,1483071488
1.529615,1483763712
1.6345661,1483902976
1.7387288,1483927552
1.8437403,1484636160
1.9477785,1484898304
2.0520603,1484898304
2.1572925,1485590528
2.2625094,1485590528
2.366941,1486065664
2.4856539,1468567552
2.590611,1485594624
2.6955651,1486708736
2.7998813,1501929472
2.904314,1502621696
3.0089105,1498869760
3.1128299,1498120192
3.2171121,1498624000
3.3215001,1495998464
3.4253518,1495719936
3.5297399,1479684096
3.6348022,1490698240
3.7388919,1497612288
3.8429488,1501880320
3.9472224,1500766208
4.0523062,1493811200
4.1560714,1494700032
4.2605191,1494712320
4.3646475,1494712320
4.4690932,1505390592
4.5734664,1505705984
4.6777104,1505755136
4.7823646,1508065280
4.8869101,1508249600
4.9910957,1508646912
0.0529284,1506021376
0.1574845,1506033664
0.2615612,1506717696
0.36554390000000003,1506541568
0.4700107,1506476032
0.5747808999999999,1507192832
0.6788938000000001,1507057664
0.7831771,1507057664
0.8875531999999999,1507655680
0.9916973,1506332672
1.0963333,1506332672
1.2007635,1507049472
1.3050526,1493221376
1.4102845,1495244800
1.5147652,1495998464
1.6191839,1497612288
1.7236366,1498075136
1.8283843,1498771456
1.9324556,1498767360
2.0363274,1499074560
2.1406366,1499766784
2.2447689,1499766784
2.3492667,1499938816
2.4541814,1485266944
2.5586008,1501048832
2.6629081,1501048832
2.7668128,1500983296
2.8717835,1500635136
2.9765555,1498406912
3.0817795,1500262400
3.1862594,1500311552
3.2907744,1500311552
3.3949167,1509400576
3.4989367,1509539840
3.6037524,1509330944
3.7084761,1504391168
3.8131094,1505800192
3.9177436,1505914880
4.0219007,1507000320
4.1269503,1507033088
4.2312699,1507033088
4.3357351,1507725312
4.4405286,1501364224
4.5450886,1504530432
4.6495397,1517944832
4.753539,1517944832
4.8576811,1517944832
4.9621563,1519898624
0.052899299999999996,1519624192
0.157699,1522978816
0.2623642,1561669632
0.3668956,1560408064
0.47101729999999997,1559162880
0.575074,1552580608
0.6807932,1552650240
0.7850055,1563648000
0.8897535000000001,1564770304
0.9942238999999999,1564831744
1.0985297,1565380608
1.2028198,1567584256
1.3078112,1570402304
1.4116205,1590001664
1.5165308,1595662336
1.6211911,1594716160
1.7255498,1595293696
1.8297762,1595981824
1.9338459,1595887616
2.0382092,1595125760
2.142293,1595887616
2.2467118,1594773504
2.3514036,1650954240
2.4604544,1650012160
2.5644427,1651724288
2.6688281,1657098240
2.7733407,1655287808
2.8775768,1654951936
2.9816986,1655648256
3.0861523,1653837824
3.1912767,1653837824
3.2952919,1654517760
3.3991675,1652449280
3.50325,1652559872
3.6074955,1653248000
