Benchmark,Reclamation Scheme,Operation,Memory Before (KB),Memory After (KB),Memory Change (KB)
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389032607744 KB,0 KB
lockfree_hash_map,none,insert,389032607744 KB,389031694336 KB,-913408 KB
lockfree_hash_map,none,insert,389031694336 KB,389029552128 KB,-2142208 KB
lockfree_hash_map,none,insert,389029552128 KB,389029552128 KB,0 KB
lockfree_hash_map,none,insert,389029552128 KB,389029552128 KB,0 KB
lockfree_hash_map,none,insert,389029552128 KB,389029552128 KB,0 KB
lockfree_hash_map,none,insert,389029552128 KB,389029552128 KB,0 KB
lockfree_hash_map,none,insert,389029552128 KB,389028806656 KB,-745472 KB
lockfree_hash_map,none,insert,389029322752 KB,389027000320 KB,-2322432 KB
lockfree_hash_map,none,insert,389027000320 KB,389020758016 KB,-6242304 KB
lockfree_hash_map,none,insert,389020758016 KB,389009920000 KB,-10838016 KB
lockfree_hash_map,none,insert,389009920000 KB,388988243968 KB,-21676032 KB
lockfree_hash_map,none,insert,388988243968 KB,388945408000 KB,-42835968 KB
lockfree_hash_map,none,insert,388945408000 KB,388860796928 KB,-84611072 KB
lockfree_hash_map,none,insert,388861526016 KB,388691214336 KB,-170311680 KB
lockfree_hash_map,none,insert,388692504576 KB,388350758912 KB,-341745664 KB
lockfree_hash_map,none,insert,388351791104 KB,388351791104 KB,0 KB
lockfree_hash_map,none,insert,388351791104 KB,388518232064 KB,166440960 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388518232064 KB,0 KB
lockfree_hash_map,none,insert,388518232064 KB,388519006208 KB,774144 KB
lockfree_hash_map,none,insert,388519006208 KB,388519264256 KB,258048 KB
lockfree_hash_map,none,insert,388519264256 KB,388519522304 KB,258048 KB
lockfree_hash_map,none,insert,388519763968 KB,388519763968 KB,0 KB
lockfree_hash_map,none,insert,388519763968 KB,388519763968 KB,0 KB
lockfree_hash_map,none,insert,388519763968 KB,388519763968 KB,0 KB
lockfree_hash_map,none,insert,388519763968 KB,388519763968 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524687360 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524687360 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524687360 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524687360 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524687360 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524687360 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524945408 KB,258048 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524687360 KB,388524945408 KB,258048 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388524945408 KB,388524945408 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525006848 KB,0 KB
lockfree_hash_map,none,insert,388525006848 KB,388525264896 KB,258048 KB
lockfree_hash_map,none,insert,388525264896 KB,388525522944 KB,258048 KB
lockfree_hash_map,none,insert,388525780992 KB,388525522944 KB,-258048 KB
lockfree_hash_map,none,insert,388525522944 KB,388525522944 KB,0 KB
lockfree_hash_map,none,insert,388525522944 KB,388525522944 KB,0 KB
lockfree_hash_map,none,insert,388525522944 KB,388525780992 KB,258048 KB
lockfree_hash_map,none,insert,388525780992 KB,388525780992 KB,0 KB
lockfree_hash_map,none,insert,388525780992 KB,388526297088 KB,516096 KB
lockfree_hash_map,none,insert,388526297088 KB,388526297088 KB,0 KB
lockfree_hash_map,none,insert,388526297088 KB,388526297088 KB,0 KB
lockfree_hash_map,none,insert,388526297088 KB,388526297088 KB,0 KB
lockfree_hash_map,none,insert,388526297088 KB,388526297088 KB,0 KB
lockfree_hash_map,none,insert,388526297088 KB,388526555136 KB,258048 KB
lockfree_hash_map,none,insert,388526555136 KB,388526813184 KB,258048 KB
lockfree_hash_map,none,insert,388526813184 KB,388526813184 KB,0 KB
lockfree_hash_map,none,insert,388526813184 KB,388526813184 KB,0 KB
lockfree_hash_map,none,insert,388526813184 KB,388526813184 KB,0 KB
lockfree_hash_map,none,insert,388526813184 KB,388526813184 KB,0 KB
lockfree_hash_map,none,insert,388526813184 KB,388526813184 KB,0 KB
lockfree_hash_map,none,insert,388527071232 KB,388527071232 KB,0 KB
lockfree_hash_map,none,insert,388527071232 KB,388527071232 KB,0 KB
lockfree_hash_map,none,insert,388527071232 KB,388527071232 KB,0 KB
lockfree_hash_map,none,insert,388527071232 KB,388527329280 KB,258048 KB
lockfree_hash_map,none,insert,388527845376 KB,388528619520 KB,774144 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388528877568 KB,388528877568 KB,0 KB
lockfree_hash_map,none,insert,388529917952 KB,388530692096 KB,774144 KB
lockfree_hash_map,none,insert,388530692096 KB,388530692096 KB,0 KB
lockfree_hash_map,none,insert,388530692096 KB,388530692096 KB,0 KB
lockfree_hash_map,none,insert,388530692096 KB,388530950144 KB,258048 KB
lockfree_hash_map,none,insert,388530950144 KB,388530950144 KB,0 KB
lockfree_hash_map,none,insert,388530950144 KB,388530950144 KB,0 KB
lockfree_hash_map,none,insert,388530950144 KB,388530950144 KB,0 KB
lockfree_hash_map,none,insert,388530950144 KB,388530950144 KB,0 KB
lockfree_hash_map,none,insert,388530950144 KB,388531466240 KB,516096 KB
lockfree_hash_map,none,insert,388531466240 KB,388531466240 KB,0 KB
lockfree_hash_map,none,insert,388531466240 KB,388531466240 KB,0 KB
lockfree_hash_map,none,insert,388531466240 KB,388532240384 KB,774144 KB
lockfree_hash_map,none,remove,388529405952 KB,388568113152 KB,38707200 KB
lockfree_hash_map,none,remove,388568113152 KB,388568113152 KB,0 KB
lockfree_hash_map,none,remove,388568113152 KB,388568113152 KB,0 KB
lockfree_hash_map,none,remove,388568113152 KB,388568113152 KB,0 KB
lockfree_hash_map,none,remove,388568113152 KB,388568113152 KB,0 KB
lockfree_hash_map,none,remove,388568113152 KB,388568113152 KB,0 KB
lockfree_hash_map,none,remove,388568113152 KB,388568113152 KB,0 KB
lockfree_hash_map,none,remove,388568113152 KB,388568113152 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568121344 KB,388568121344 KB,0 KB
lockfree_hash_map,none,remove,388568141824 KB,388568141824 KB,0 KB
lockfree_hash_map,none,remove,388568141824 KB,388568141824 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567900160 KB,0 KB
lockfree_hash_map,none,remove,388567900160 KB,388567384064 KB,-516096 KB
lockfree_hash_map,none,remove,388567384064 KB,388569042944 KB,1658880 KB
lockfree_hash_map,none,remove,388569042944 KB,388569300992 KB,258048 KB
lockfree_hash_map,none,remove,388569300992 KB,388569890816 KB,589824 KB
lockfree_hash_map,none,remove,388569890816 KB,388571697152 KB,1806336 KB
lockfree_hash_map,none,remove,388571697152 KB,388574707712 KB,3010560 KB
lockfree_hash_map,none,remove,388574707712 KB,388574707712 KB,0 KB
lockfree_hash_map,none,remove,388574707712 KB,388574707712 KB,0 KB
lockfree_hash_map,none,remove,388574707712 KB,388574707712 KB,0 KB
lockfree_hash_map,none,remove,388574707712 KB,388574707712 KB,0 KB
lockfree_hash_map,none,remove,388574707712 KB,388574707712 KB,0 KB
lockfree_hash_map,none,remove,388574707712 KB,388574707712 KB,0 KB
lockfree_hash_map,none,remove,388574707712 KB,388575223808 KB,516096 KB
lockfree_hash_map,none,remove,388575223808 KB,388575223808 KB,0 KB
lockfree_hash_map,none,remove,388575223808 KB,388575481856 KB,258048 KB
lockfree_hash_map,none,remove,388575481856 KB,388575739904 KB,258048 KB
lockfree_hash_map,none,remove,388575739904 KB,388575739904 KB,0 KB
lockfree_hash_map,none,remove,388575739904 KB,388575739904 KB,0 KB
lockfree_hash_map,none,remove,388575739904 KB,388575739904 KB,0 KB
lockfree_hash_map,none,remove,388575739904 KB,388575739904 KB,0 KB
lockfree_hash_map,none,remove,388575739904 KB,388575739904 KB,0 KB
lockfree_hash_map,none,remove,388575739904 KB,388575739904 KB,0 KB
lockfree_hash_map,none,remove,388575739904 KB,388575481856 KB,-258048 KB
lockfree_hash_map,none,remove,388575481856 KB,388575481856 KB,0 KB
lockfree_hash_map,none,remove,388575481856 KB,388575481856 KB,0 KB
lockfree_hash_map,none,remove,388575481856 KB,388575481856 KB,0 KB
lockfree_hash_map,none,remove,388575481856 KB,388575481856 KB,0 KB
