Benchmark,Reclamation Scheme,Operation,Memory Before (KB),Memory After (KB),Memory Change (KB)
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799729664 KB,0 KB
lockfree_list,none,insert,388799729664 KB,388799987712 KB,258048 KB
lockfree_list,none,insert,388799987712 KB,388799987712 KB,0 KB
lockfree_list,none,insert,388799987712 KB,388799758336 KB,-229376 KB
lockfree_list,none,insert,388799758336 KB,388799070208 KB,-688128 KB
lockfree_list,none,insert,388799070208 KB,388797325312 KB,-1744896 KB
lockfree_list,none,insert,388797325312 KB,388796493824 KB,-831488 KB
lockfree_list,none,insert,388796493824 KB,388796493824 KB,0 KB
lockfree_list,none,insert,388796493824 KB,388796493824 KB,0 KB
lockfree_list,none,insert,388796493824 KB,388796235776 KB,-258048 KB
lockfree_list,none,insert,388796235776 KB,388796493824 KB,258048 KB
lockfree_list,none,insert,388796493824 KB,388795838464 KB,-655360 KB
lockfree_list,none,insert,388795838464 KB,388796096512 KB,258048 KB
lockfree_list,none,insert,388796096512 KB,388799508480 KB,3411968 KB
lockfree_list,none,insert,388799508480 KB,388811186176 KB,11677696 KB
lockfree_list,none,insert,388811186176 KB,388811186176 KB,0 KB
lockfree_list,none,insert,388811186176 KB,388811444224 KB,258048 KB
lockfree_list,none,insert,388811444224 KB,388811444224 KB,0 KB
