Benchmark,Reclamation Scheme,Operation,Memory Before (KB),Memory After (KB),Memory Free Change (KB)
lockfree_queue,ref_counting,enqueue,2861412352 KB,2861719552 KB,307200 KB
lockfree_queue,ref_counting,enqueue,2862288896 KB,2862690304 KB,401408 KB
lockfree_queue,ref_counting,enqueue,2863124480 KB,2863210496 KB,86016 KB
lockfree_queue,ref_counting,enqueue,2862526464 KB,2862125056 KB,-401408 KB
lockfree_queue,ref_counting,enqueue,2860748800 KB,2859442176 KB,-1306624 KB
lockfree_queue,ref_counting,enqueue,2857848832 KB,2855284736 KB,-2564096 KB
lockfree_queue,ref_counting,enqueue,2853027840 KB,2853519360 KB,491520 KB
lockfree_queue,ref_counting,enqueue,2853814272 KB,2854387712 KB,573440 KB
lockfree_queue,ref_counting,enqueue,2854891520 KB,2855325696 KB,434176 KB
lockfree_queue,ref_counting,enqueue,2855968768 KB,2856611840 KB,643072 KB
lockfree_queue,ref_counting,enqueue,2857254912 KB,2857897984 KB,643072 KB
lockfree_queue,ref_counting,enqueue,2858541056 KB,2859184128 KB,643072 KB
lockfree_queue,ref_counting,enqueue,2859823104 KB,2860462080 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2861101056 KB,2861531136 KB,430080 KB
lockfree_queue,ref_counting,enqueue,2862170112 KB,2862391296 KB,221184 KB
lockfree_queue,ref_counting,enqueue,2862821376 KB,2862624768 KB,-196608 KB
lockfree_queue,ref_counting,enqueue,2861731840 KB,2860990464 KB,-741376 KB
lockfree_queue,ref_counting,enqueue,2859675648 KB,2857947136 KB,-1728512 KB
lockfree_queue,ref_counting,enqueue,2856148992 KB,2855464960 KB,-684032 KB
lockfree_queue,ref_counting,enqueue,2854154240 KB,2853679104 KB,-475136 KB
lockfree_queue,ref_counting,enqueue,2853134336 KB,2853425152 KB,290816 KB
lockfree_queue,ref_counting,enqueue,2853924864 KB,2854215680 KB,290816 KB
lockfree_queue,ref_counting,enqueue,2854854656 KB,2855424000 KB,569344 KB
lockfree_queue,ref_counting,enqueue,2856062976 KB,2856701952 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2857414656 KB,2858053632 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2858692608 KB,2859331584 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2859970560 KB,2860609536 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2861248512 KB,2861678592 KB,430080 KB
lockfree_queue,ref_counting,enqueue,2862317568 KB,2862538752 KB,221184 KB
lockfree_queue,ref_counting,enqueue,2862899200 KB,2862772224 KB,-126976 KB
lockfree_queue,ref_counting,enqueue,2861670400 KB,2860847104 KB,-823296 KB
lockfree_queue,ref_counting,enqueue,2859257856 KB,2857738240 KB,-1519616 KB
lockfree_queue,ref_counting,enqueue,2856218624 KB,2855464960 KB,-753664 KB
lockfree_queue,ref_counting,enqueue,2854014976 KB,2853748736 KB,-266240 KB
lockfree_queue,ref_counting,enqueue,2853273600 KB,2853564416 KB,290816 KB
lockfree_queue,ref_counting,enqueue,2854064128 KB,2855137280 KB,1073152 KB
lockfree_queue,ref_counting,enqueue,2855776256 KB,2856345600 KB,569344 KB
lockfree_queue,ref_counting,enqueue,2856984576 KB,2857623552 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2858262528 KB,2858295296 KB,32768 KB
lockfree_queue,ref_counting,enqueue,2857234432 KB,2856062976 KB,-1171456 KB
lockfree_queue,ref_counting,enqueue,2854912000 KB,2853437440 KB,-1474560 KB
lockfree_queue,ref_counting,enqueue,2850971648 KB,2851610624 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2852827136 KB,2853466112 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2854105088 KB,2854744064 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2855383040 KB,2856022016 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2856660992 KB,2857299968 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2857938944 KB,2865061888 KB,7122944 KB
lockfree_queue,ref_counting,enqueue,2867597312 KB,2868236288 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2868875264 KB,2869514240 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2870153216 KB,2870792192 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2871447552 KB,2872086528 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2872725504 KB,2873364480 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2874003456 KB,2874642432 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2875281408 KB,2875850752 KB,569344 KB
lockfree_queue,ref_counting,enqueue,2872590336 KB,2865012736 KB,-7577600 KB
lockfree_queue,ref_counting,enqueue,2860011520 KB,2860650496 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2861289472 KB,2862485504 KB,1196032 KB
lockfree_queue,ref_counting,enqueue,2863124480 KB,2863763456 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2864410624 KB,2865049600 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2865688576 KB,2866327552 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2867912704 KB,2868551680 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2869288960 KB,2869927936 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2870566912 KB,2871205888 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2871844864 KB,2872483840 KB,638976 KB
lockfree_queue,ref_counting,enqueue,2873122816 KB,2873692160 KB,569344 KB
lockfree_queue,ref_counting,enqueue,2874331136 KB,2874830848 KB,499712 KB
lockfree_queue,ref_counting,enqueue,2872754176 KB,2868449280 KB,-4304896 KB
lockfree_queue,ref_counting,enqueue,2864005120 KB,2862067712 KB,-1937408 KB
