group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,55378300.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,54664300.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,53806000.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,52013900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,51630300.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48794000.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48403300.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,46995600.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,46627800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48476800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,45486900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,45585600.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,45635300.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,45273900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,45203800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,46004200.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,46282100.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,46659700.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,47243300.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,47356800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,47655400.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48691900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,47604900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48407800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,47436700.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,47367200.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,49458400.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,47559700.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48348800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,50927000.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48522500.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48548200.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48349300.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48763700.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48467900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48095900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,48420500.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,49021100.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,51267200.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,49478900.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,49294100.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,51356800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,52326800.0,ns,6
atomic_queue,atomic_queue_dequeue_hazard_pointers,,,,50735000.0,ns,6
