group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
atomic_queue,atomic_queue_enqueue_crossbeam,,,,51842000.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,49133600.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,50202200.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,61061900.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,60542300.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,61324800.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,64077300.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,60455600.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,60088000.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,59109000.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,57540200.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,56557800.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,56256600.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,56439800.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,55952200.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,54757900.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,54764800.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,54956800.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,54318100.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,55073000.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,54494900.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,53916400.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,52931700.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,53628000.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,54105200.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,53031500.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,53044000.0,ns,6
atomic_queue,atomic_queue_enqueue_crossbeam,,,,53599900.0,ns,6
