group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
atomic_queue,atomic_queue_enqueue_seize,,,,64955000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,60116700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,59946400.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,60614800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,59874200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,59091000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,57804500.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,57363600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,57425700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,56561000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,55152700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,54924500.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,55853200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,54153600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,53791600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,53928800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,59271500.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,56264400.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,54710300.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,56614000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,54580200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,53593600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52897800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,53297800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,53216000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,53616000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52975400.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52291000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52360900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,51510500.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52012600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52369400.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,51121300.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52151400.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,51141200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,51931400.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,50651100.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,47299800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,46727200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45894800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45432700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,46820600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45441900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,43976900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,44348100.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45243800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,44975300.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,44669900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45046200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45632100.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45424900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45267700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45610500.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45605900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,46671000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,46607700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,45968500.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,46406700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,47940800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,47735500.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,47729000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,46896600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,47219300.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,47549400.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,47967600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,48354000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,48546000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52613600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,50329800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,48549000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,48802200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,48348100.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49029800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49381600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49097100.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49417900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49663800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49088700.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49073800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,48875900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49045900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,51228200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49149300.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,49544600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52778200.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,48712100.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,50807800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,50174000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,52173000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,55623000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,54082300.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,60546100.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,56534800.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,56785600.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,59711900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,60517900.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,61943000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,59137300.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,57672000.0,ns,6
atomic_queue,atomic_queue_enqueue_seize,,,,56776500.0,ns,6
