group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,50013500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,45778700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,45548200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44911400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44933400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44826700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43932400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44262100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,45442100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44837800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43878500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43670100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43513400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43564200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44072900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43917800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44199500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,45734100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43755600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44348900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,44632800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43753400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41804300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39762500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39413000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,38793700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39146600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,38547000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41246400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40213000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,37739900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,37488500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,38243700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,37939100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,37389000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,38043900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,38000200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40022200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,38490300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,38556300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39694200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39735300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39487400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39872500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39268400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39474800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40212900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39605900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39494900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39767600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40171100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39714700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39883700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40354600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40659300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,42923600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41087000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,39959400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40514300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40637200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40243900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41206100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40485200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40097500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40161100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40387400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41597800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41245000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41819200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40910400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40759900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40944200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40903400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41098800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41734800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41227900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,42397800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,43274400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,40770300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41601600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41541500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41203200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41292700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_hazard_pointer,,,,41567500.0,ns,5
