group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,49093500.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,47432300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,48394300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,46160200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,44858000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,42688600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,42193400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,41964100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,40916800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,40344900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,40604000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,39799300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,39697900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,38768300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,38664000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,38334100.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,39212000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,38939900.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,38756300.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,40241700.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,39718000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,40044800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,39827400.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,39756000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,40380200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,41037600.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,43087000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,55251800.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,41761200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,42237000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,42439000.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,45050200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,43412200.0,ns,5
lockfree_queue,lock_free_queue_dequeue_ref_counting,,,,41935800.0,ns,5
