group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,64337100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,61102600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,63391500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,60530100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,58466600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,58808200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,58285500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,57565600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,56282800.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,56748500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,56717900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,54504100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,55725500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,55613000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,55869300.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,55564500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53952700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53217700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52802200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,54975400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,54191700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53985900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53648000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52578000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53037900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52687700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53203000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52157800.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52731900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52680600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51846800.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50926800.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50070000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51118900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,48998600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,49406200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,48648000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,46984600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,47206000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50534200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,47931400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,46553200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,46393500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,45392200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,45685400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,46211100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,47752500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,46573400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,46338500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,46676600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,47270100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,47099200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,49171200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,49357500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,48717400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,49511400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,49240300.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,48786300.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,48607800.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,60139200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53483900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51474800.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50985900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51855500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50408900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53848200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,54726600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51863000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,57099000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53722600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,54209300.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53965100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53121700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,54760700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52067900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53638700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52175100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,53028700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52777000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,55069500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,56162200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52798300.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52694400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52847100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52295200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51579000.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50405700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50436600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50331900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50094900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50782800.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50653700.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50047600.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50172400.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,50263100.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51640500.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51041200.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,51137900.0,ns,6
lockfree_queue,lock_free_queue_enqueue_crossbeam,,,,52278500.0,ns,6
