group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,47519000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,45055700.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,42852400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,42926900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,44136500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,42936900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,110386600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,109432000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,56542300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,79180800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,98526800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,84818900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,130957800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,77497000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,64131600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,59981600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,62574800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,61716300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,55290200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,62780600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,64792200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,78676000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,72364300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,67912300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,57999000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,51525500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,50254500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,50125100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,49215900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,55193000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,46813200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,46936500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,44930400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,44634200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,44966500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,42767800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,43346000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,43774500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,47950400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,43828500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,44671300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,42698400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,42521600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,41027800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,39979200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,39024400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,37462200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,39948500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,38340100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,39086600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,40988800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,51427600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,52428200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,41345000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,38390100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,37835200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36717200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36920400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36940900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,37331000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35836800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35981800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,38546100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35687800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36152900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,37386300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36201800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36393300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36640800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36311800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35063600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34909200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35124200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,36129400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35089900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34939600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34890200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35826000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34403600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34318600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34636200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35122800.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34703200.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34570100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34438100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34577000.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34571100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34252400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35049600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34532300.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34090600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,33748600.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,33108400.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34742100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34004900.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,35614700.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,33886700.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,34252500.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,33093100.0,ns,4
lockfree_queue,lock_free_queue_enqueue_hazard_pointer,,,,33176000.0,ns,4
