group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
lockfree_queue,lock_free_queue_enqueue_seize,,,,54154000.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,47156700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46845100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46680700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46766300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46267400.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46078700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46605800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,45918500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46823300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46387700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46216300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48065200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48252400.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46409200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48640800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48368200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48696400.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,49077300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,54194200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,47292500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,45060700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,44957200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,43973600.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41968000.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41168800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41479200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,40652600.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,40140800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39332500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39366100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39231500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39359900.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39659300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39571200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,40216300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39362500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,40493300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,40477100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,39942300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42874200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,45094500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42248700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41421100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41231200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,40907800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,40771200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41006900.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41680100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41711100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42222000.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42890300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42039200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42339800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42017600.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42520600.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,41801400.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42200700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42342200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42460500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42781400.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42275000.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42511500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,44322500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,44218100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42838000.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42251800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42060600.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42924600.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42037900.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42571900.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42859100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,42707400.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,51136700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,52330900.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,51054400.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,50254000.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,51460300.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,49734500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,49992000.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,49618700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48265500.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48442700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,52297100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,49168200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,49262800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,48423100.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,47636700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,47349200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,47769800.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46669700.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,45821900.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46567200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46815200.0,ns,5
lockfree_queue,lock_free_queue_enqueue_seize,,,,46623800.0,ns,5
